Procedimento	Custo Evitável	Receita Evitável	Custo Não Evitável	Receita Não Evitável	Custo Não Identificado	Receita Não Identificado	Custo Ajustado	Receita	Oportunidade Perdida
EXERESE + SUTURA DE LESÃO EM PERNA ESQUERDA	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
EXÉRESE DE  GRANULOMA			 847,34 	 2.744,75 			 847,34 	 2.744,75 	 3.592,09 
EXÉRESE DE CARCINOMA IN SITU	 867,28 	 1.705,89 					 867,28 	 1.705,89 	 1.705,89 
EXERESE DE CBC+ RETALHO EM FACE 			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
EXERESE DE CISTO	 32.880,24 	 70.520,39 	 20.629,72 	 42.266,54 	 2.273,15 	 4.529,95 	 55.783,12 	 117.316,88 	 137.946,61 
EXÉRESE DE CUSTO  BRAQUIAL 			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
EXERESE DE GANGLIO LINFÁTICO	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
EXERESE DE GRANULOMA	 2.282,71 	 5.419,32 	 2.252,33 	 4.230,93 			 4.535,04 	 9.650,25 	 11.902,58 
EXERESE DE GRANULOMA + DESVIO DE SEPTO + TURBINECTOMIA	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
EXERESE DE HIDROADENITE					 136,52 	 496,58 	 136,52 	 496,58 	 496,58 
EXERESE DE LESAO	 32.711,34 	 72.992,55 	 27.253,02 	 55.217,09 	 2.226,05 	 4.305,75 	 62.190,41 	 132.515,38 	 159.768,41 
EXERESE DE LIPOMA			 225,86 	 308,00 			 225,86 	 308,00 	 533,86 
EXERESE DE LIPOMA 	 16.135,35 	 35.469,27 	 11.507,50 	 23.046,32 	 1.228,39 	 2.625,36 	 28.871,24 	 61.140,96 	 72.648,46 
EXERESE DE MELANOMA + ENXERTO + PESQUISA DE LINFONODO SENTINELA.	 273,03 	 993,15 	 136,52 	 496,58 			 409,55 	 1.489,73 	 1.626,24 
EXERESE DE MICROCALCIFICAÇÃO	 211,84 	 686,19 	 423,67 	 1.372,37 			 635,51 	 2.058,56 	 2.482,23 
EXERESE DE NEVU	 6.557,77 	 14.129,10 	 11.417,83 	 22.312,30 	 1.270,63 	 2.212,58 	 19.246,23 	 38.653,99 	 50.071,82 
EXERESE DE POLIPO  + ANTROCOANAL + SEPTOPLASTIA  + TURBINECTOMIA			 273,03 	 993,15 			 273,03 	 993,15 	 1.266,18 
EXERESE DE PROJÉTIL EM REGIÃO CERVICAL			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
EXERESE DE PTERIGIO	 544,07 	 1.485,11 	 136,52 	 496,58 	 136,52 	 496,58 	 817,10 	 2.478,27 	 2.614,78 
EXERESE DE REGIÃO MALAR DIREITA			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
EXERESE DE UNHA 	 407,55 	 988,54 	 677,59 	 923,99 			 1.085,14 	 1.912,53 	 2.590,12 
EXÉRESE DUCTOS E NÓDULO POR USG	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
EXERESE EM CARCINOMA BASOCELULAR RETROAURICULAR	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
EXÉRESE EM OMBRO E EM PÉ DIREITO			 136,52 	 496,58 			 136,52 	 496,58 	 633,09 
EXERESE GRANULOMA CORPO ESTRANHO SUBCUTÂNEO (ÂNGULO DE MANDÍBULA DIREITA) - COD. 01	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
EXERESE PTERIGIO	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
EXERESE QUELOIDE ORELHA DIREITA	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
EXERESE QUELOIDE ORELHA ESQUERDA	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
EXERESE TU REGIÃO DORSAL			 352,20 	 326,45 			 352,20 	 326,45 	 678,65 
EXERESE TUMORES DE PELE	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
EXERSE DE NODULOS DE MAMA	 136,52 	 496,58 			 136,52 	 496,58 	 273,03 	 993,15 	 993,15 
EXERTO DE PELE EM ANTEBRAÇO ESQUERDO	 325,21 	 721,96 					 325,21 	 721,96 	 721,96 
EXESERESE DE TU EM GLÚTEO À DIREITA E EXTRAÇÃO DE UNHA À 	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
EXODONTIA DE DECÍDUOS			 225,86 	 308,00 			 225,86 	 308,00 	 533,86 
EXODONTIA MÚLTIPLAS			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
EXODONTIAS MULTIPLAS + PLASTICA DO LABO INFERIOR	 353,41 	 618,83 	 353,41 	 618,83 			 706,82 	 1.237,66 	 1.591,08 
EXPLORAÇÃO ARTICULAR	 680,52 	 1.520,74 					 680,52 	 1.520,74 	 1.520,74 
EXPLORAÇÃO DE TECIDO SUBCUTANEO					 272,97 	 532,20 	 272,97 	 532,20 	 532,20 
EXPLORAÇÃO DE VIAS BILIARES	 805,14 	 1.234,83 					 805,14 	 1.234,83 	 1.234,83 
EXTIRPAÇÃO DE BOCIO INTRATORACICO	 273,03 	 993,15 					 273,03 	 993,15 	 993,15 
EXTIRPAÇÃO DE BÓCIO INTRATORÁCICO POR VIA TRANSESTERNAL	 451,73 	 615,99 					 451,73 	 615,99 	 615,99 
EXTIRPACAO DE GLANDULA LACRIMAL	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
EXTIRPAÇÃO DE LESÃO DE SUBCUTÂNEO	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
EXTIRPAÇÃO DE LESÃO EM COURO CABELUDO	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
EXTIRPAÇÃO E SUPRESSÃO  DE LESÃO DE PELE E DE TECIDO CELULAR SUBCUTÂNEO 	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
EXTIRPACAO E SUPRESSAO DE LESAO DE PELE (RESSECÇÃO TUMORAL EM FACE)			 211,84 	 686,19 			 211,84 	 686,19 	 898,02 
EXTIRPACAO E SUPRESSAO DE LESAO DE PELE E DE TECIDO CELULAR SUBCUTANEO	 947,71 	 3.289,58 	 423,67 	 1.372,37 			 1.371,38 	 4.661,95 	 5.085,62 
EXTIRPACAO E SUPRESSAO DE LESAO DE PELE E DE TECIDO CELULAR SUBCUTANEO 	 423,67 	 1.372,37 					 423,67 	 1.372,37 	 1.372,37 
EXTIRPAÇÃO E SUPRESSÃO DE PELE DE TECIDO CELULAR SUBCUTÂNEO	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
EXTRAÇÃO DE DECÍDUOS			 225,86 	 308,00 			 225,86 	 308,00 	 533,86 
EXTRAÇÃO DE UNHA	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
EXTRAÇÃO DE UNHA 					 272,97 	 532,20 	 272,97 	 532,20 	 532,20 
EXTRAÇÕES  MÚLTIPLAS 	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
EXTRAÇÕES DENTÁRIAS	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
EXTRAÇÕES DENTARIAS MULTIPLAS	 960,72 	 2.780,52 					 960,72 	 2.780,52 	 2.780,52 
EXTRAÇÕES DENTÁRIAS MULTIPLAS			 325,21 	 721,96 			 325,21 	 721,96 	 1.047,17 
EXTRAÇÕES DENTÁRIAS MÚLTIPLAS	 975,63 	 2.165,88 					 975,63 	 2.165,88 	 2.165,88 
EXTRACÕES MULTIPLAS	 735,87 	 2.603,39 					 735,87 	 2.603,39 	 2.603,39 
EXTRAÇOES MULTIPLAS	 1.632,00 	 3.072,48 	 272,97 	 532,20 	 272,97 	 532,20 	 2.177,94 	 4.136,88 	 4.409,84 
EXTRAÇÕES MULTIPLAS	 5.994,51 	 11.907,93 	 810,01 	 1.940,35 	 724,69 	 1.148,19 	 7.529,22 	 14.996,47 	 15.806,48 
EXTRAÇÕES MÚLTIPLAS	 12.264,29 	 25.645,25 	 1.968,53 	 3.933,71 	 362,38 	 804,57 	 14.595,19 	 30.383,54 	 32.352,07 
EXTRACÕES MULTIPLAS 	 211,84 	 686,19 	 211,84 	 686,19 			 423,67 	 1.372,37 	 1.584,21 
EXTRAÇÕES MÚLTIPLAS 			 225,86 	 308,00 			 225,86 	 308,00 	 533,86 
EXTRAÇÕES MÚLTIPLAS + RESTAURAÇÕES SOB ANESTESIA 	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
EXTRAÇÕES MÚLTIPLAS + RESTAURAÇÕES SOB ANESTESIA GERAL 	 1.091,87 	 2.128,79 	 136,52 	 496,58 			 1.228,39 	 2.625,36 	 2.761,88 
EXTRAÇÕES MULTIPLAS + TTO ODONTOLOGICO SOB ANESTESIA GERAL	 677,59 	 923,99 					 677,59 	 923,99 	 923,99 
EXTRAÇÕES MÚLTIPLAS DENTARIAS	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
EXTRAÇÕES MÚLTIPLAS DENTÁRIAS	 546,07 	 1.986,30 					 546,07 	 1.986,30 	 1.986,30 
EXTRAÇÕES MÚLTLIPLAS + TRATAMENTO ODONTOLÓGICO	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
EXTRAÕES MULTIPLAS	 677,59 	 923,99 	 225,86 	 308,00 			 903,45 	 1.231,99 	 1.457,85 
EXTRAÕES MULTIPLAS 	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
EXTRÇÃO SIMPLES			 136,52 	 496,58 			 136,52 	 496,58 	 633,09 
FACECTOMIA COM IMPLANTE DE LENTE INTRA-OCULAR	 423,67 	 1.372,37 	 211,84 	 686,19 			 635,51 	 2.058,56 	 2.270,40 
FECHAMENTO DE COLOSTOMIA			 225,86 	 308,00 	 225,86 	 308,00 	 451,73 	 615,99 	 841,86 
FECHAMENTO DE ENTERESTOMIA 			 325,21 	 721,96 			 325,21 	 721,96 	 1.047,17 
FECHAMENTO DE ENTEROSTOMIA	 6.748,73 	 13.230,51 	 722,76 	 1.107,96 			 7.471,49 	 14.338,46 	 15.061,22 
FECHAMENTO DE ENTEROSTOMIA 			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
FECHAMENTO DE ENTEROSTOMIA - CÓD 4	 546,07 	 1.986,30 	 136,52 	 496,58 			 682,58 	 2.482,88 	 2.619,39 
FECHAMENTO DE ENTEROSTOMIA ( QUALQUER SEGMENTO)	 847,34 	 2.744,75 					 847,34 	 2.744,75 	 2.744,75 
FECHAMENTO DE ENTEROSTOMIA (QUALQUER SEGMENTO)	 2.986,37 	 7.323,99 	 211,84 	 686,19 			 3.198,20 	 8.010,18 	 8.222,02 
FECHAMENTO DE ENTEROSTOMIA + HERNIORRAFIA	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
FECHAMENTO DE FÍSTULA LIQUORICA VIA ENDONASAL			 225,86 	 308,00 			 225,86 	 308,00 	 533,86 
FECHAMENTO DE FISTULA TRAQUEO CUTANEA			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
FECHAMENTO DE ILEOSTOMIA EM ALÇA	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
FENDA BRANQUIAL			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
FEOCROMOCITOMA	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
FIBROMA DE REGIÃO CERVICAL 			 1.084,13 	 1.967,86 			 1.084,13 	 1.967,86 	 3.051,99 
FIBRONA DE REGIÃOCERVICAL + HEMANGIOMA DE BRAÇO E	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
FISSURA ANAL CRÔNICA + PAPILA HIPERTRÓFICA +HEMORRÓIDAS	 136,52 	 496,58 	 136,52 	 496,58 			 273,03 	 993,15 	 1.129,67 
FISSURECTOMIA ANAL	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
FISTULA 	 544,00 	 1.024,16 	 546,07 	 1.986,30 	 225,86 	 308,00 	 1.315,93 	 3.318,46 	 3.864,53 
FRATURA DE HUMERO PROXIMAL 			 225,86 	 308,00 			 225,86 	 308,00 	 533,86 
FREIO DE LINGUA			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
FRENECTOMIA	 489,93 	 1.115,41 	 680,58 	 1.981,69 			 1.170,51 	 3.097,10 	 3.777,68 
FRENOTOMIA	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
FRENOTOMIA LINGUAL	 1.630,96 	 3.562,30 	 2.446,11 	 4.493,05 	 409,48 	 1.028,77 	 4.486,56 	 9.084,12 	 11.530,23 
FRENOTOMIA LINGUAL 	 3.523,44 	 6.395,54 	 225,86 	 308,00 	 272,97 	 532,20 	 4.022,27 	 7.235,73 	 7.461,59 
FRENOTOMIA LINGUAL - COD. 01	 2.089,53 	 3.809,17 	 272,97 	 532,20 	 272,97 	 532,20 	 2.635,47 	 4.873,57 	 5.146,54 
FRENOTOMIA LINGUAL + EXERESE DE CISTO SEBACEO RETROAURICULAR - COD. 02	 136,52 	 496,58 	 272,97 	 532,20 			 409,48 	 1.028,77 	 1.301,74 
FRENULECTOMIA LABIAL	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
FRENULOPLASTIA	 706,82 	 1.237,66 	 704,40 	 652,90 			 1.411,22 	 1.890,57 	 2.594,96 
GASTRECTOMIA	 3.204,20 	 6.576,47 	 407,55 	 988,54 			 3.611,75 	 7.565,01 	 7.972,56 
GASTRECTOMIA  SUBTOTAL	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
GASTRECTOMIA LAPAROTÔMICA	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
GASTRECTOMIA PARCIAL	 1.538,87 	 3.029,71 					 1.538,87 	 3.029,71 	 3.029,71 
GASTRECTOMIA PARCIAL - NEOPLASIA DE ESTÔMAGO			 225,86 	 308,00 	 225,86 	 308,00 	 451,73 	 615,99 	 841,86 
GASTRECTOMIA PARCIAL (COD. 4)	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
GASTRECTOMIA PARCIAL + LINFADENECTOMIA	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
GASTRECTOMIA PARCIAL C/ OU S/  VAGOTOMIA			 325,21 	 721,96 			 325,21 	 721,96 	 1.047,17 
GASTRECTOMIA PARCIAL C/ OU S/ VAGOTOMIA	 923,39 	 1.976,12 					 923,39 	 1.976,12 	 1.976,12 
GASTRECTOMIA SUBTOTAL	 325,21 	 721,96 	 325,21 	 721,96 			 650,42 	 1.443,92 	 1.769,13 
GASTRECTOMIA SUBTOTAL D2	 650,42 	 1.443,92 					 650,42 	 1.443,92 	 1.443,92 
GASTRECTOMIA TOTAL	 3.622,31 	 6.857,48 	 482,87 	 1.178,15 			 4.105,18 	 8.035,63 	 8.518,50 
GASTRECTOMIA TOTAL +COLECISTECTOMIA			 325,21 	 721,96 			 325,21 	 721,96 	 1.047,17 
GASTRECTOMIA TOTAL ALARGADA	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
GASTRECTOMIA TOTAL EM ONCOLOGIA	 423,67 	 1.372,37 	 312,20 	 1.231,02 			 735,87 	 2.603,39 	 2.915,59 
GASTRECTOMIA VERTICAL EM MANGA (SLEEVE)	 409,55 	 1.489,73 	 136,52 	 496,58 			 546,07 	 1.986,30 	 2.122,82 
GASTRECTOMIA VIDEOLAPAROSCOPICA	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
GASTRODUODENOPANCREATECTOMIA	 3.086,83 	 7.164,32 	 809,09 	 2.030,98 			 3.895,93 	 9.195,30 	 10.004,39 
GASTROPLASTIA	 1.129,32 	 1.539,99 	 225,86 	 308,00 			 1.355,18 	 1.847,98 	 2.073,85 
GASTROPLASTIA C/ DERIVAÇÃO	 451,73 	 615,99 					 451,73 	 615,99 	 615,99 
GASTROPLASTIA C/ DERIVACAO INTESTINAL	 1.107,26 	 3.640,18 					 1.107,26 	 3.640,18 	 3.640,18 
GASTROPLASTIA C/DERIVAÇÃO INSTESTINAL	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
GASTROPLASTIA C/DERIVAÇÃO INTESTINAL 	 136,52 	 496,58 			 136,52 	 496,58 	 273,03 	 993,15 	 993,15 
GASTROPLASTIA COM DERIVAÇÃO INTESTINAL	 451,73 	 615,99 					 451,73 	 615,99 	 615,99 
GASTROPLASTIA COM DERIVAÇÃO INTESTINAL 	 542,07 	 983,93 					 542,07 	 983,93 	 983,93 
GASTROPLASTIA VERTICAL COM BANDA	 423,67 	 1.372,37 					 423,67 	 1.372,37 	 1.372,37 
GASTROSTOMIA	 7.067,87 	 15.665,60 	 2.225,64 	 5.125,11 	 225,86 	 308,00 	 9.519,37 	 21.098,71 	 23.324,34 
GASTROSTOMIA 	 4.798,49 	 8.783,42 	 4.388,98 	 11.657,41 	 272,97 	 532,20 	 9.460,44 	 20.973,02 	 25.362,01 
GATROJEJUNOANASTOMOSE	 650,42 	 1.443,92 					 650,42 	 1.443,92 	 1.443,92 
GINECOMASTIA	 1.305,68 	 2.379,38 	 803,93 	 942,45 	 225,86 	 308,00 	 2.335,47 	 3.629,83 	 4.433,75 
GTT	 6.767,55 	 13.576,35 	 4.411,05 	 10.392,61 	 1.044,77 	 1.904,59 	 12.223,37 	 25.873,55 	 30.284,59 
GTT + COLONOSCOPIA					 272,97 	 532,20 	 272,97 	 532,20 	 532,20 
HD: CRAVO PLANTAR	 352,20 	 326,45 					 352,20 	 326,45 	 326,45 
HEMICOLECTOMIA	 2.995,59 	 6.709,97 	 791,11 	 1.613,02 			 3.786,70 	 8.322,99 	 9.114,10 
HEMORROIDECTOMIA	 23.589,29 	 48.670,91 	 7.995,01 	 16.264,23 	 1.181,35 	 2.862,12 	 32.765,64 	 67.797,26 	 75.792,27 
HEPATECTOMIA	 5.703,72 	 14.772,01 	 1.610,31 	 4.853,31 	 272,97 	 532,20 	 7.586,99 	 20.157,51 	 21.767,81 
HEPATOTOMIA E DRENAGEM DE CISTO			 545,94 	 1.064,39 			 545,94 	 1.064,39 	 1.610,33 
HERNIA	 203.011,41 	 440.594,21 	 86.776,38 	 199.966,55 	 13.421,14 	 25.100,68 	 303.208,93 	 665.661,43 	 752.437,81 
HIATOPLASTIA + COLECISTECTOMIA VÍDEO	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
HIATOPLASTIA VLP	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
HIDRADENITE SUPURATIVA	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
HIDRADENITE SUPURATIVA 	 136,52 	 496,58 	 136,52 	 496,58 			 273,03 	 993,15 	 1.129,67 
HIDROCELE	 5.666,64 	 10.320,99 	 3.554,61 	 5.734,02 	 272,97 	 532,20 	 9.494,22 	 16.587,20 	 20.141,81 
HIDROCELE + HERNIA INGUINAL	 225,86 	 308,00 	 225,86 	 308,00 			 451,73 	 615,99 	 841,86 
HIDROCELE+HERNIA	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
HIDROCELECTOMIA	 272,97 	 532,20 	 225,86 	 308,00 			 498,83 	 840,19 	 1.066,06 
HIPERIDROSE			 225,86 	 308,00 			 225,86 	 308,00 	 533,86 
HISTERECTOMIA	 51.137,77 	 119.062,23 	 12.780,32 	 32.383,44 	 1.364,84 	 2.660,98 	 65.282,93 	 154.106,65 	 166.886,97 
HISTERECTOMIA 	 41.154,80 	 93.155,82 	 10.264,62 	 24.953,83 	 136,52 	 496,58 	 51.555,94 	 118.606,23 	 128.870,85 
HISTERECTOMIA (HTV) + ABERTURA DE HIATO	 271,03 	 491,96 	 353,41 	 618,83 			 624,45 	 1.110,80 	 1.464,21 
HISTERECTOMIA + HERNIOPLASTIA INGUINAL	 650,42 	 1.443,92 					 650,42 	 1.443,92 	 1.443,92 
HISTERECTOMIA + OOFORECTOMIA BILATERAL	 545,94 	 1.064,39 					 545,94 	 1.064,39 	 1.064,39 
HTV + COLPOPERINEOPLASTIA	 544,00 	 1.024,16 	 722,76 	 1.107,96 			 1.266,76 	 2.132,12 	 2.854,88 
HTV+ COLPOPLASTIA 	 624,45 	 1.110,80 	 542,07 	 983,93 			 1.166,51 	 2.094,73 	 2.636,79 
HTV+ RECONSTRUÇÃO PÉLVICA	 769,86 	 1.332,16 					 769,86 	 1.332,16 	 1.332,16 
HTV+PERINEOPLASTIA			 225,86 	 308,00 			 225,86 	 308,00 	 533,86 
IMPLANTAÇÃO DE CATETER DUPLO J			 325,21 	 721,96 			 325,21 	 721,96 	 1.047,17 
IMPLANTAÇÃO DE PORT A CATH	 748,88 	 2.094,34 	 211,84 	 686,19 			 960,72 	 2.780,52 	 2.992,36 
IMPLANTE COCLEAR	 4.146,78 	 9.220,51 	 3.026,54 	 6.698,18 			 7.173,32 	 15.918,69 	 18.945,23 
IMPLANTE DE AVC			 353,41 	 618,83 			 353,41 	 618,83 	 972,24 
IMPLANTE DE CATÉTER DE TENCKOFF	 325,21 	 721,96 	 325,21 	 721,96 			 650,42 	 1.443,92 	 1.769,13 
IMPLANTE DE DVE (TROCA)	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
IMPLANTE DE GTT			 136,52 	 496,58 			 136,52 	 496,58 	 633,09 
IMPLANTE DE PERM-CATH			 325,21 	 721,96 			 325,21 	 721,96 	 1.047,17 
IMPLANTE DE PROTESE MAMARIA BILATERAL	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
INFILTRAÇÃO 			 353,41 	 618,83 			 353,41 	 618,83 	 972,24 
INFILTRAÇÃO  LOMBAR	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
INFILTRAÇÃO (OMBRO)			 271,03 	 491,96 			 271,03 	 491,96 	 763,00 
INFILTRAÇÃO DE PORTOCATH EM LOMBAR	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
INFILTRAÇÃO OMBRO			 271,03 	 491,96 			 271,03 	 491,96 	 763,00 
INFILTRAÇÃO PUNHO			 271,03 	 491,96 			 271,03 	 491,96 	 763,00 
INGUINOTOMIA EXPLORADORA	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
INSERÇÃO DE CATETER CENTRAL			 271,03 	 491,96 			 271,03 	 491,96 	 763,00 
INSTALAÇÃO DE CATETER DUPLO J + URETROCISTOSCOPIA			 975,63 	 2.165,88 			 975,63 	 2.165,88 	 3.141,52 
INSTALAÇÃO DE DUPLO J	 273,03 	 993,15 					 273,03 	 993,15 	 993,15 
INSTALAÇÃO ENDOSCOPICA DE CATETER DUPLO 	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
INSTALACAO ENDOSCOPICA DE CATETER DUPLO J	 1.200,76 	 3.363,58 	 537,05 	 1.408,15 			 1.737,80 	 4.771,73 	 5.308,78 
JEJUNOSTOMIA	 136,52 	 496,58 	 225,86 	 308,00 	 225,86 	 308,00 	 588,24 	 1.112,57 	 1.338,43 
LAP EXPLORADORA 			 225,86 	 308,00 			 225,86 	 308,00 	 533,86 
LAP EXPLORADORA (LAVAGEM DE CAVIDADE) 	 704,40 	 652,90 					 704,40 	 652,90 	 652,90 
LAP. DIAGNÓSTICA	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
LAP. DIAGNÓSTICA + BIOPSIA			 225,86 	 308,00 			 225,86 	 308,00 	 533,86 
LAP. EXPLORADORA	 2.851,74 	 4.829,52 	 1.317,73 	 2.436,78 			 4.169,47 	 7.266,30 	 8.584,04 
LAPAROSCOPIA  EXPLORADORA	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
LAPAROSCOPIA + BIOPSIA			 325,21 	 721,96 			 325,21 	 721,96 	 1.047,17 
LAPAROSCOPIA + BIÓPSIA	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
LAPAROSCOPIA + BIOPSIA 			 136,52 	 496,58 			 136,52 	 496,58 	 633,09 
LAPAROSCOPIA COM BIÓPSIA	 694,71 	 1.864,34 	 211,84 	 686,19 			 906,54 	 2.550,53 	 2.762,36 
LAPAROSCOPIA COM BIÓPSIA 			 271,03 	 491,96 			 271,03 	 491,96 	 763,00 
LAPAROSCOPIA DIAGNOSTICA	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
LAPAROSCOPIA DIAGNÓSTICA (TESTÍCULO E. NÃO PALPÁVEL) 	 409,55 	 1.489,73 	 136,52 	 496,58 			 546,07 	 1.986,30 	 2.122,82 
LAPAROSCOPIA DIAGNÓSTICA + ORQUIOPEXIA BILATERAL 	 545,94 	 1.064,39 					 545,94 	 1.064,39 	 1.064,39 
LAPAROTOMIA	 13.314,59 	 31.356,50 	 1.760,78 	 4.510,74 	 1.364,90 	 3.121,94 	 16.440,28 	 38.989,18 	 40.749,96 
LAPAROTOMIA + BIÓPSIA + SALPINGECTOMIA E	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
LAPAROTOMIA + ENTEROSCOPIA	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
LAPAROTOMIA + OOFORECTOMIA BILATERAL - PORTE 4	 545,94 	 1.064,39 					 545,94 	 1.064,39 	 1.064,39 
LESÃO DE REGIÃO MOLAR ESQUERDA 	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
LESÃO EM ASA NASAL + CORREÇÃO DE ECTRÓPIO 			 136,52 	 496,58 			 136,52 	 496,58 	 633,09 
LESÃO EM COURO CABELUDO 			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
LESÃO EM HELICE DE ORELHA DIREITA + LESÃO REGIÃO MALAR DIREITA 			 136,52 	 496,58 			 136,52 	 496,58 	 633,09 
LESAO EM LABIO SUPERIOR   			 325,21 	 721,96 			 325,21 	 721,96 	 1.047,17 
LESÃO EM MENISCO DO JOELHO DIREITO	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
LESÃO EM PONTA NASAL + ECTRÓPIO  			 273,03 	 993,15 			 273,03 	 993,15 	 1.266,18 
LESÃO MALAR DIREITA	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
LESÃO P/ DISPLASIA FIBROSA 	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
LESÃO PAVILHÃO AURICULAR D	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
LESAO PIGMENTADA EM PE	 624,40 	 2.462,03 					 624,40 	 2.462,03 	 2.462,03 
LESÃO SULCO NASOGENIANO					 225,86 	 308,00 	 225,86 	 308,00 	 308,00 
LESOES PIGMENTADAS  EM REGIÃO PALPEBRAL DIREITA 			 136,52 	 496,58 			 136,52 	 496,58 	 633,09 
LEUCOPLASIA PVE					 136,52 	 496,58 	 136,52 	 496,58 	 496,58 
LIBERAÇÃO DE RETALHO 			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
LIFFITING DE COXA PÓS CIRURGIA BARIÁTRICA	 352,20 	 326,45 					 352,20 	 326,45 	 326,45 
LIGADURA DE FAV	 545,94 	 1.064,39 					 545,94 	 1.064,39 	 1.064,39 
LIMPEZA CIRURGICA E RECOLOCAÇÃO DE SEDENHO	 325,21 	 721,96 					 325,21 	 721,96 	 721,96 
LIMPEZA MECANOCIRURGICA COM BIOPSIA EM TORNOZELO			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
LIMPOMA MEDIO COURO CABELUDO E CERVICAL E AXILA GRANDES			 352,20 	 326,45 			 352,20 	 326,45 	 678,65 
LINFADENECTOMIA			 895,48 	 1.602,76 			 895,48 	 1.602,76 	 2.498,24 
LIPOENXERTIA DA FACE	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
LIPOENXERTIA DE FACE	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
LIPOENXERTIA EM FACE	 271,03 	 491,96 	 271,03 	 491,96 			 542,07 	 983,93 	 1.254,96 
LIPOENXERTIA MAMARIA +REFINAMENTO DE CICATRIZ 			 271,03 	 491,96 			 271,03 	 491,96 	 763,00 
